Name,Win rate,Loss rate,Team,Games Played,Average Goals,Average Headed goals,Average Penalties scored,Average Freekicks scored,Average Assists,Average Shots,Average Shots on target,Average Hit woodworks,Average Big chances missed,Average Passes,Average Big chances created,Average Yellow cards,Average Red cards,Average Fouls,Average Offsides
Deniz Undav,0.38461538461538464,0.38461538461538464,Brighton & Hove Albion,13,0.0,0.0,0.0,0.0,0.0,1.0769230769230769,0.3076923076923077,0.15384615384615385,0.38461538461538464,4.846153846153846,0.07692307692307693,0.0,0.0,0.23076923076923078,0.3076923076923077
Evan Ferguson,0.5,0.2857142857142857,Brighton & Hove Albion,14,0.2857142857142857,0.07142857142857142,0.0,0.0,0.14285714285714285,1.6428571428571428,0.8571428571428571,0.14285714285714285,0.21428571428571427,11.428571428571429,0.0,0.07142857142857142,0.0,0.35714285714285715,0.07142857142857142
Armando Broja,0.3111111111111111,0.35555555555555557,Chelsea,45,0.15555555555555556,0.0,0.0,0.0,0.0,1.1333333333333333,0.5777777777777777,0.044444444444444446,0.17777777777777778,10.0,0.044444444444444446,0.044444444444444446,0.0,0.6888888888888889,0.35555555555555557
Raheem Sterling,0.6169590643274854,0.21052631578947367,Chelsea,342,0.3304093567251462,0.03216374269005848,0.008771929824561403,0.0029239766081871343,0.1695906432748538,2.043859649122807,0.8450292397660819,0.07602339181286549,0.30409356725146197,31.27777777777778,0.22807017543859648,0.10818713450292397,0.0029239766081871343,1.0847953216374269,0.35964912280701755
Pierre-Emerick Aubameyang,0.46099290780141844,0.3262411347517731,Chelsea,141,0.48936170212765956,0.028368794326241134,0.06382978723404255,0.0070921985815602835,0.11347517730496454,2.2836879432624113,1.0354609929078014,0.0851063829787234,0.3829787234042553,19.390070921985817,0.1347517730496454,0.06382978723404255,0.0070921985815602835,0.425531914893617,0.5673758865248227
David Datro Fofana,0.0,0.5,Chelsea,2,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,2.5,0.0,0.0,0.0,1.5,0.5
Joao Felix,0.18181818181818182,0.5454545454545454,Chelsea,11,0.18181818181818182,0.0,0.0,0.0,0.0,3.272727272727273,1.1818181818181819,0.18181818181818182,0.2727272727272727,24.727272727272727,0.09090909090909091,0.0,0.09090909090909091,1.0909090909090908,0.5454545454545454
Noni Madueke,0.2,0.4,Chelsea,5,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0,17.2,0.0,0.0,0.0,0.2,0.2
Noni Madueke,0.2,0.4,Chelsea,5,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0,17.2,0.0,0.0,0.0,0.2,0.2
Jordan Ayew,0.26609442060085836,0.48497854077253216,Crystal Palace,233,0.13733905579399142,0.030042918454935622,0.008583690987124463,0.0,0.07296137339055794,1.3175965665236051,0.44635193133047213,0.03862660944206009,0.0815450643776824,21.068669527896997,0.0815450643776824,0.11587982832618025,0.008583690987124463,1.4721030042918455,0.21888412017167383
Wilfried Zaha,0.31788079470198677,0.423841059602649,Crystal Palace,302,0.22185430463576158,0.006622516556291391,0.023178807947019868,0.0,0.09602649006622517,1.7119205298013245,0.6258278145695364,0.04966887417218543,0.1490066225165563,22.129139072847682,0.15562913907284767,0.15562913907284767,0.006622516556291391,1.2649006622516556,0.4470198675496689
Jean-Philippe Mateta,0.2545454545454545,0.41818181818181815,Crystal Palace,55,0.14545454545454545,0.03636363636363636,0.0,0.0,0.01818181818181818,1.2,0.4909090909090909,0.01818181818181818,0.12727272727272726,7.581818181818182,0.01818181818181818,0.09090909090909091,0.0,0.5818181818181818,0.45454545454545453
Odsonne Edouard,0.2982456140350877,0.3333333333333333,Crystal Palace,57,0.17543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.08771929824561403,1.3333333333333333,0.5263157894736842,0.05263157894736842,0.15789473684210525,13.526315789473685,0.05263157894736842,0.12280701754385964,0.0,0.8771929824561403,0.2631578947368421
Dominic Calvert-Lewin,0.3693181818181818,0.4147727272727273,Everton,176,0.26136363636363635,0.10795454545454546,0.011363636363636364,0.0,0.0625,1.8295454545454546,0.7784090909090909,0.045454545454545456,0.3068181818181818,15.130681818181818,0.07954545454545454,0.13636363636363635,0.0,1.1875,0.4090909090909091
Demarai Gray,0.3401015228426396,0.43147208121827413,Everton,197,0.09644670050761421,0.0,0.01015228426395939,0.0,0.07106598984771574,1.299492385786802,0.4365482233502538,0.015228426395939087,0.06598984771573604,16.19796954314721,0.1218274111675127,0.06598984771573604,0.0,0.3604060913705584,0.14213197969543148
Alex Iwobi,0.40930232558139534,0.37209302325581395,Everton,215,0.07441860465116279,0.009302325581395349,0.0,0.0,0.12093023255813953,1.0558139534883721,0.3953488372093023,0.023255813953488372,0.07906976744186046,29.813953488372093,0.16744186046511628,0.023255813953488372,0.0,0.4046511627906977,0.06046511627906977
Ellis Simms,0.1,0.6,Everton,10,0.1,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,7.1,0.0,0.0,0.0,0.0,0.1
Dwight McNeil,0.27439024390243905,0.45121951219512196,Everton,164,0.06707317073170732,0.0,0.0,0.0,0.11585365853658537,1.1341463414634145,0.3170731707317073,0.03048780487804878,0.03048780487804878,25.091463414634145,0.23780487804878048,0.08536585365853659,0.0,0.5426829268292683,0.03048780487804878
