Malachi Fagan-Walcott,
Tobi Omole,
Brooklyn Lyons-Foster,
Sergio Reguilón,25000000
Ben Davies,20000000
Emerson Royal,25000000
Matt Doherty,12000000
Marcel Lavinier,300000
Kallum Cesay,
Oliver Skipp,18000000
Harry Winks,15000000
Harvey White,600000
Matthew Craig,
Michael Craig,
Jamie Bowden,
Pierre-Emile Höjbjerg,40000000
Tanguy Ndombélé,30000000
Rodrigo Bentancur,28000000
Giovani Lo Celso,22000000
Moussa Sissoko,4500000
Nile John,400000
Ryan Sessegnon,18000000
Dele Alli,16000000
Alfie Devine,900000
Heung-min Son,75000000
Bryan Gil,18000000
Steven Bergwijn,18000000
Jack Clarke,3500000
J'Neil Bennett,
Dejan Kulusevski,40000000
Lucas Moura,20000000
Dilan Markanday,400000
Romaine Mundle,
Harry Kane,90000000
Dane Scarlett,250000
Alphonse Areola,8000000
Lukasz Fabianski,1000000
Darren Randolph,800000
David Martin,250000
Kurt Zouma,28000000
Issa Diop,10000000
Craig Dawson,3000000
Angelo Ogbonna,1200000
Aji Alese,500000
Jamal Baptiste,200000
Arthur Masuaku,5000000
Aaron Cresswell,3000000
Emmanuel Longelo,150000
Vladimir Coufal,12000000
Ben Johnson,9000000
Ryan Fredericks,1500000
Harrison Ashby,300000
Declan Rice,80000000
Tomas Soucek,45000000
Alex Kral,7000000
Conor Coventry,500000
Keenan Appiah-Forson,300000
Freddie Potts,250000
Pierre Ekwah,
Mark Noble,1000000
Dan Chesters,250000
Pablo Fornals,22000000
Nikola Vlasic,22000000
Manuel Lanzini,12000000
Kamarai Swyer,
Saïd Benrahma,25000000
Armstrong Oko-Flex,
Jarrod Bowen,42000000
Andriy Yarmolenko,2500000
Michail Antonio,10000000
Sonny Perkins,1200000
José Sá,18000000
Matija Sarkic,1800000
John Ruddy,300000
Louie Moulden,200000
Andreas Söndergaard,200000
James Storer,
Conor Coady,25000000
Max Kilman,16000000
Romain Saïss,8000000
Willy Boly,6000000
Yerson Mosquera,3000000
Toti,1500000
Dion Sanderson,600000
Christian Marques,200000
Rayan Aït-Nouri,20000000
Jonny Otto,15000000
Ryan Giles,3000000
Marçal,1500000
Hugo Bueno,
Dexter Lembikisa,
Nélson Semedo,22000000
Ki-Jana Hoever,6000000
Rúben Neves,40000000
Leander Dendoncker,28000000
João Moutinho,2500000
Bruno Jordão,1600000
Luke Cundle,800000
Connor Ronan,750000
Morgan Gibbs-White,11000000
Chem Campbell,
Daniel Podence,20000000
Chiquinho,3000000
Pedro Neto,32000000
Trincão,20000000
Adama Traoré,20000000
Raúl Jiménez,18000000
Hee-chan Hwang,16000000
Fábio Silva,15000000
