Player,Salary,Year
Luke Thomas,600000,2021
Lyanco Vojnovic,2500000,2021
Lyle Taylor,1040000,2021
Lys Mousset,1300000,2021
Maarten Stekelenburg,1560000,2018
Mads Bech Sørensen,208000,2021
Mads Roerslev,346667,2021
Mahmoud Hassan,1690000,2020
Malang Sarr,6240000,2021
Mamadou Sakho,5200000,2020
Mame Diouf,3380000,2017
Manolo Gabbiadini,4160000,2018
Manuel Lanzini,3640000,2021
Marc Albrighton,2340000,2021
Marc Cucurella,2600000,2021
Marc Guehi,2610000,2021
Marc Muniesa,1716000,2018
Marc Navarro,1196000,2020
Marc Pugh,1300000,2017
Marco Stiepermann,910000,2020
Marco van Ginkel,1450000,2019
Marcos Alonso,5200000,2021
Marcos Rojo,4160000,2019
Marcus Bettinelli,1730000,2021
Marcus Forss,260000,2020
Marcus Rashford,10400000,2021
Marek Rodak,230000,2021
Mario Lemina,3380000,2020
Mario Vrancic,1040000,2020
Mark Duffy,416000,2018
Mark Gillespie,600000,2021
Mark Noble,2600000,2021
Marko Arnautovic,5200000,2018
Marko Grujic,702000,2017
Markus Suttner,1300000,2017
Marlos Moreno,2340000,2019
Marouane Fellaini,7800000,2018
Martin Dubravka,1976000,2021
Martin Kelly,1300000,2020
Martin Montoya,2600000,2019
Martin Olsson,1716000,2019
Martin Ødegaard,4110000,2021
Marvelous Nakamba,1690000,2021
Marvin Zeegelaar,1040000,2017
Mason Greenwood,3900000,2021
Mason Holgate,1300000,2021
Mason Mount,4160000,2021
Massadio Haidara,1040000,2017
Matej Delac,468000,2017
Matej Vydra,1820000,2021
Mateo Kovacic,7800000,2021
Mateusz Klich,403000,2021
Matheus Pereira,312000,2021
Mathew Ryan,1820000,2020
Mathias Jensen,1040000,2021
Mathias Jorgensen,1716000,2019
Mathieu Debuchy,3900000,2017
Matt Butcher,31200,2017
Matt Clarke,1140000,2021
Matt Doherty,3400000,2021
Matt Macey,260000,2017
Matt Phillips,1040000,2021
Matt Ritchie,2340000,2021
Matt Targett,1820000,2021
Matteo Darmian,2340000,2019
Matteo Guendouzi,2080000,2019
Matthew Connolly,987000,2019
Matthew Longstaff,960000,2020
Matthew Lowton,1300000,2021
Matthew Pennington,156000,2019
Matty Cash,3380000,2021
Matty James,1300000,2019
Max Aarons,1170000,2021
Max Kilman,780000,2021
Max Lowe,228800,2021
Max Meyer,6500000,2019
Max Sanders,800000,2020
Maxime le Marchand,1300000,2021
Maya Yoshida,2600000,2019
Mbwana Samatta,2080000,2019
Mesut Ozil,13975000,2019
Michael Carrick,4160000,2017
Michael Hector,2600000,2021
Michael Hefele,780000,2017
Michael Keane,3380000,2021
Michael McGovern,442000,2021
Michael Obafemi,600000,2020
Michael Olise,2470000,2021
Michael Verrips,1040000,2021
Michail Antonio,3640000,2021
Michal Karbownik,624000,2020
Michel Vorm,2080000,2018
Michy Batshuayi,4680000,2021
Miguel Almiron,2201000,2021
Miguel Britos,1300000,2018
Mike van der Hoorn,780000,2017
Mikel Merino,1820000,2017
Mohamed Diame,2340000,2018
Mohamed Elneny,2730000,2021
Mohamed Elyounoussi,3120000,2021
Mohamed Salah,10400000,2021
Mohammed Salisu,1200000,2021
Moise Kean,2765000,2019
Moises Caicedo,182000,2021
Molla Wague,468000,2017
Morgan Gibbs-White,78000,2020
Morgan Sanson,2496000,2021
Morgan Schneiderlin,5200000,2019
Mortiz Leitner,624000,2020
Mousa Dembele,2860000,2017
Moussa Djenepo,2860000,2021
Moussa Sissoko,4160000,2021
Muhamed Besic,1538333,2019
N'Golo Kante,15080000,2021
Naby Keita,6240000,2021
Nacer Chadli,3120000,2019
Nacho Monreal,3380000,2018
Nahki Wells,1300000,2017
Nampalys Mendy,2860000,2021
Nathan Ake,4800000,2021
Nathan Dyer,1664000,2019
Nathan Ferguson,1500000,2021
Nathan Patterson,810000,2021
Nathan Redmond,3120000,2021
Nathan Tella,650000,2021
Nathaniel Chalobah,2700000,2021
Nathaniel Clyne,4200000,2021
Nathaniel Mendez-Laing,961667,2020
Nathaniel Phillips,3360000,2021
Neal Maupay,2600000,2021
Neco Williams,1300000,2021
Neeskens Kebano,700024,2021
Neil Etheridge,1015000,2020
Neil Taylor,416000,2020
Nelson Semedo,4000000,2021
Nemanja Matic,6240000,2021
Nick Pope,1820000,2021
Nicolas Otamendi,6240000,2017
Nicolas Pepe,7280000,2021
Niels Nkounkou,230000,2020
Niki Maenpaa,1040000,2017
Nikola Vlasic,3640000,2021
Nuno Tavares,1404000,2021
Nuno da Costa,620000,2021
Odion Ighalo,0,2020
Odsonne Edouard,4930000,2021
