full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings
Rúben Diogo Da Silva Neves,Midfielder,12.5,16.0,1618.0,32.0,262.0,296,2,5,0.9252375205264182,8
Ruben Loftus-Cheek,Midfielder,0.0,6.0,857.0,13.0,244.0,1386,0,4,-0.07483324129740776,11
Ryan Fraser,Midfielder,12.5,8.0,299.0,16.0,91.0,490,1,0,-0.0010720222511501464,10
Ryan Sessegnon,Midfielder,0.0,1.0,248.0,4.0,118.0,527,2,0,-0.5591181109120091,47
Saúl Ñíguez,Midfielder,0.0,1.0,288.0,3.0,70.0,477,0,1,-0.6637472841027098,8
Scott McTominay,Midfielder,6.67,7.0,1055.0,15.0,364.0,266,0,5,0.16491429822071074,36
Sean Longstaff,Midfielder,9.09,2.0,478.0,11.0,186.0,1458,0,4,-0.10455008927931507,12
Sergi Canós Tenes,Midfielder,13.04,13.0,417.0,23.0,235.0,263,2,5,0.31165423264466957,28
Shandon Baptiste,Midfielder,14.29,4.0,255.0,7.0,105.0,453,0,0,-0.15415582545258272,16
Solomon March,Midfielder,0.0,10.0,493.0,17.0,204.0,1739,1,4,-0.03449337789035449,9
Steven Alzate,Midfielder,0.0,1.0,203.0,1.0,46.0,0,0,1,-0.7699203305914237,16
Stuart Armstrong,Midfielder,7.69,9.0,571.0,26.0,167.0,1470,0,4,0.1347724534603404,8
Stuart Dallas,Midfielder,5.56,9.0,1065.0,18.0,338.0,584,1,5,0.27180321821344205,30
Stuart McKinstry,Midfielder,0.0,0.0,2.0,0.0,0.0,0,0,1,-0.9049968835261808,48
Takumi Minamino,Midfielder,60.0,4.0,58.0,5.0,33.0,176,0,3,1.0143851859378195,2
Tanguy Ndombele,Midfielder,20.0,3.0,230.0,5.0,72.0,486,0,3,-0.04567165063349028,18
Tarique Fosu,Midfielder,0.0,1.0,5.0,1.0,2.0,0,0,1,-0.8716514605488781,29
Taylor Richards,Midfielder,0.0,0.0,21.0,0.0,6.0,0,0,1,-0.8944369403554826,34
Thiago Alcantara,Midfielder,9.09,6.0,1335.0,11.0,199.0,769,2,5,0.38019394727117645,25
Thomas Partey,Midfielder,6.67,10.0,1031.0,30.0,227.0,406,0,5,0.2476090745522725,33
Tim Iroegbunam,Midfielder,0.0,0.0,0.0,0.0,0.0,91,0,1,-0.895770888278527,38
Todd Cantwell,Midfielder,0.0,0.0,127.0,4.0,67.0,221,0,1,-0.7837416816104759,19
Tom Cleverley,Midfielder,0.0,7.0,456.0,8.0,164.0,812,1,0,-0.2863183620068375,29
Tom Davies,Midfielder,33.33,2.0,60.0,3.0,21.0,232,0,3,0.18312342577170093,14
Tomáš Souček,Midfielder,15.15,12.0,1029.0,33.0,463.0,1021,0,5,0.7317917805109904,11
Tyler Morton,Midfielder,0.0,0.0,30.0,0.0,8.0,66,0,1,-0.8825208017502617,30
Tyler Onyango,Midfielder,0.0,0.0,1.0,0.0,4.0,0,0,1,-0.9036157476335887,45
Vitaly Janelt,Midfielder,21.05,11.0,738.0,19.0,218.0,769,0,5,0.5639583859489807,19
Will Hughes,Midfielder,0.0,0.0,428.0,2.0,124.0,176,0,1,-0.6460052357924222,7
William Smallbone,Midfielder,0.0,0.0,19.0,1.0,13.0,0,0,1,-0.8883707259203244,32
Youri Tielemans,Midfielder,15.38,17.0,1426.0,39.0,312.0,878,3,2,1.1145896941507314,10
Yves Bissouma,Midfielder,6.25,5.0,1051.0,16.0,247.0,212,1,5,0.08668190393805124,37
